,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,costfor2,type,city
0,1,1,4.1,775,1,20,3628,1393,800.0,0,1
1,1,0,4.1,787,1,20,2950,596,800.0,0,1
2,1,0,3.8,918,1,16,1409,485,800.0,0,1
3,0,0,3.7,88,1,62,2752,1597,300.0,0,1
4,0,0,3.8,166,4,20,3435,1414,600.0,0,1
5,1,0,3.8,286,4,20,3316,1163,600.0,0,1
7,1,1,4.6,2556,1,22,2005,1478,600.0,1,1
8,1,0,4.0,324,1,13,3882,463,700.0,1,1
9,1,0,4.2,504,1,13,5182,486,550.0,1,1
10,1,0,4.1,402,1,13,5183,333,500.0,1,1
11,1,1,4.2,150,1,13,2905,463,600.0,1,1
12,1,1,4.2,164,1,13,1733,381,500.0,1,1
13,0,0,4.0,424,1,13,4460,384,450.0,1,1
14,1,0,3.8,918,1,16,1409,485,800.0,1,1
15,1,0,3.8,90,1,13,2180,333,650.0,1,1
16,1,0,3.9,133,1,13,2954,442,800.0,1,1
17,1,0,3.8,144,1,13,3624,534,700.0,1,1
18,0,0,3.9,93,1,13,945,457,300.0,1,1
20,1,0,3.0,62,1,13,489,445,400.0,1,1
21,1,0,3.7,180,1,13,3859,497,500.0,1,1
23,1,0,3.6,62,1,65,3626,991,600.0,1,1
29,0,0,3.8,148,4,22,3562,1201,550.0,1,1
30,1,0,4.0,219,4,13,3858,456,600.0,1,1
31,1,0,2.8,506,1,62,605,1339,500.0,2,1
33,1,0,3.9,172,1,29,3418,1475,750.0,2,1
34,1,0,4.2,415,1,62,4302,1197,500.0,2,1
35,1,0,3.9,230,1,29,4076,236,650.0,2,1
37,1,0,4.2,1647,1,20,3269,611,600.0,2,1
38,1,0,4.4,4884,30,20,1250,1409,750.0,2,1
40,1,0,3.8,133,4,62,1810,1646,200.0,2,1
42,1,0,3.9,286,1,62,571,323,500.0,2,1
43,1,0,3.9,540,1,62,3358,1484,800.0,2,1
44,1,1,4.6,2556,1,22,2005,1478,600.0,2,1
45,0,0,3.8,36,1,29,4045,1321,400.0,2,1
46,1,0,3.6,244,46,62,265,1203,300.0,2,1
47,1,0,4.0,804,46,20,774,1225,450.0,2,1
48,1,0,3.7,679,63,20,2944,606,850.0,2,1
49,1,0,3.1,245,46,62,3543,1264,300.0,2,1
52,0,0,4.3,345,1,30,2348,962,400.0,2,1
53,1,0,4.0,618,30,20,4035,289,750.0,2,1
54,0,0,4.0,1047,1,62,3639,986,450.0,2,1
55,1,0,3.9,627,1,29,4421,929,450.0,2,1
57,1,1,4.2,354,1,20,4769,151,800.0,2,1
60,0,0,4.2,244,1,20,3647,1006,800.0,2,1
61,1,1,3.6,163,46,20,4595,921,800.0,2,1
63,0,1,4.0,808,1,20,4407,1203,850.0,2,1
65,1,0,4.1,1720,4,62,2269,1362,400.0,2,1
67,0,0,4.1,868,1,57,238,706,1200.0,2,1
71,0,0,4.1,520,1,62,5101,249,300.0,2,1
74,0,0,3.6,299,1,62,4258,873,300.0,2,1
76,1,0,4.1,558,4,62,254,1557,150.0,2,1
79,0,0,3.8,39,1,62,2752,1573,350.0,2,1
81,1,0,4.2,146,1,9,258,216,400.0,2,1
86,1,0,4.4,4401,30,20,1054,287,600.0,2,1
94,0,0,2.6,283,1,20,297,1163,600.0,2,1
95,0,0,3.3,62,1,4,1283,1599,800.0,2,1
98,0,0,3.7,65,1,62,3431,878,300.0,2,1
99,1,0,3.8,71,4,30,2332,965,400.0,2,1
100,0,0,3.5,52,1,62,4306,1557,300.0,2,1
101,0,0,3.7,130,1,62,1735,1557,200.0,2,1
103,0,0,3.8,45,1,72,1787,175,400.0,2,1
120,1,0,4.1,201,1,62,2808,1607,300.0,2,1
145,1,0,4.0,771,1,20,3472,1599,450.0,2,1
146,0,0,3.0,98,1,4,3416,1203,800.0,2,1
148,1,1,4.1,175,30,20,2035,1601,500.0,2,1
150,1,0,3.8,540,4,20,4287,1360,650.0,2,1
151,1,0,3.8,124,46,62,4273,586,400.0,2,1
152,1,0,4.1,340,1,72,3531,1399,500.0,2,1
153,1,0,3.8,505,1,62,553,323,450.0,2,1
155,1,0,4.1,438,30,30,4248,796,500.0,2,1
156,1,0,3.7,264,54,20,2482,1219,750.0,2,1
159,1,0,3.7,97,30,62,1038,1393,350.0,2,1
162,1,0,3.6,195,30,20,4187,599,800.0,2,1
164,1,0,4.6,228,30,13,3893,360,400.0,2,1
166,1,1,4.1,364,30,20,3248,1675,1200.0,2,1
167,1,0,3.7,107,4,9,2566,222,150.0,2,1
168,1,0,3.2,167,46,62,1630,1604,300.0,2,1
174,1,0,4.2,64,4,62,3899,1520,500.0,2,1
176,1,0,3.0,290,1,62,1117,1222,450.0,2,1
177,1,0,4.1,233,4,62,897,1638,200.0,2,1
178,1,0,3.8,115,46,62,3817,868,250.0,2,1
180,1,1,3.9,291,30,13,636,369,650.0,2,1
181,1,0,4.5,155,30,9,4556,229,300.0,2,1
182,1,0,4.1,305,46,20,3935,971,700.0,2,1
185,1,0,3.9,38,1,30,2140,955,150.0,2,1
186,1,0,3.9,441,1,62,265,1602,400.0,2,1
188,1,0,4.3,630,30,62,3575,1464,200.0,2,1
190,1,0,3.9,160,46,62,5213,84,300.0,2,1
191,1,0,4.2,287,1,62,3459,1163,350.0,2,1
193,1,0,4.1,402,1,13,5183,333,500.0,2,1
194,1,0,3.8,469,4,20,2824,1215,750.0,2,1
195,1,0,3.3,511,46,20,4669,166,550.0,2,1
198,1,0,3.9,264,1,62,2465,1557,200.0,2,1
199,1,0,3.0,62,1,13,489,445,400.0,2,1
200,1,0,3.8,693,1,20,4754,1484,750.0,2,1
201,1,0,3.8,242,30,20,3185,1095,650.0,2,1
203,1,0,4.1,163,4,62,5211,686,500.0,2,1
204,1,0,4.2,191,4,62,2804,1646,250.0,2,1
205,1,0,3.5,32,1,62,2125,1496,150.0,2,1
206,1,0,2.5,247,1,20,3483,1163,500.0,2,1
207,1,1,4.1,2339,30,20,5067,1213,1500.0,2,1
208,1,0,4.1,337,30,62,3274,549,300.0,2,1
209,1,0,3.9,135,1,20,4727,1229,800.0,2,1
210,1,0,3.6,172,79,20,265,1203,700.0,2,1
211,1,0,3.6,105,1,20,3791,1688,700.0,2,1
212,1,0,4.2,504,1,13,5182,486,550.0,2,1
217,1,1,4.3,1129,30,20,3930,1015,1300.0,2,1
219,1,0,4.3,860,1,30,3155,794,500.0,2,1
220,1,0,3.8,412,30,20,2658,77,700.0,2,1
221,1,1,3.9,142,30,20,3004,1099,1000.0,2,1
223,1,0,3.6,143,30,20,4066,1564,750.0,2,1
226,1,0,4.4,181,30,9,3678,232,250.0,2,1
227,1,0,3.8,70,30,62,4780,1461,200.0,2,1
228,1,0,3.8,164,4,62,3972,1486,600.0,2,1
229,1,0,3.6,58,46,62,577,367,650.0,2,1
230,0,0,3.8,148,4,22,3562,1201,550.0,2,1
231,0,0,3.9,206,4,62,1027,1595,450.0,2,1
235,0,0,3.7,217,4,20,853,1288,450.0,2,1
237,0,0,3.8,148,4,62,4493,878,150.0,2,1
248,1,0,2.9,177,30,20,4034,1218,700.0,2,1
251,1,0,3.7,136,1,62,5120,1517,600.0,2,1
253,1,0,4.1,185,30,62,1991,1028,200.0,2,1
255,1,0,3.8,155,54,20,3743,1607,400.0,2,1
256,1,0,3.8,42,1,62,4319,1599,300.0,2,1
257,1,0,3.8,286,4,20,3316,1163,600.0,2,1
258,1,0,3.8,160,1,20,2823,1203,700.0,2,1
259,1,0,3.8,59,1,20,4745,1203,750.0,2,1
262,1,0,4.0,89,30,62,2052,1561,200.0,2,1
264,1,0,3.9,40,4,20,2752,1287,600.0,2,1
265,1,0,2.5,35,4,62,106,822,200.0,2,1
268,1,0,3.6,62,1,65,3626,991,600.0,2,1
271,1,0,4.1,139,30,20,4311,1284,550.0,2,1
274,1,0,3.7,237,1,62,984,1581,200.0,2,1
275,1,0,3.9,388,1,20,1034,300,650.0,2,1
277,1,0,3.9,128,46,20,2763,1578,500.0,2,1
278,1,1,4.1,1875,30,20,1540,1166,1200.0,2,1
279,1,0,3.8,90,1,13,2180,333,650.0,2,1
282,1,0,4.2,179,1,29,5123,1475,600.0,2,1
284,1,0,4.3,275,4,62,2514,1557,100.0,2,1
285,1,0,3.7,323,30,20,3296,611,850.0,2,1
290,1,0,4.3,322,30,20,5089,1557,400.0,2,1
291,1,0,2.6,157,30,13,1724,347,450.0,2,1
292,1,0,3.9,543,4,62,2463,1581,300.0,2,1
293,1,0,3.7,180,1,13,3859,497,500.0,2,1
294,1,0,4.2,444,4,62,4784,1557,100.0,2,1
295,1,0,3.9,134,30,62,3502,1657,400.0,2,1
296,1,0,3.8,577,30,20,5113,1429,900.0,2,1
298,1,0,3.9,144,30,20,2699,1275,550.0,2,1
299,1,0,4.1,787,1,20,2950,596,800.0,2,1
301,1,0,3.6,84,1,62,1673,1599,250.0,2,1
303,1,1,4.0,349,1,20,4625,1529,1200.0,2,1
304,1,0,3.7,248,46,62,4838,1334,400.0,2,1
305,1,0,4.1,216,4,13,3644,392,500.0,2,1
307,1,0,4.0,324,1,13,3882,463,700.0,2,1
308,1,0,2.6,231,46,62,12,1277,400.0,2,1
309,1,0,3.4,102,79,20,4134,1601,400.0,2,1
310,1,0,3.9,133,1,13,2954,442,800.0,2,1
311,1,0,2.8,45,1,20,3778,1493,800.0,2,1
313,1,0,3.8,75,1,62,4518,841,200.0,2,1
314,1,0,4.0,53,63,29,2562,1119,600.0,2,1
315,1,1,4.2,815,30,20,424,1203,900.0,2,1
316,1,1,4.0,633,1,20,2311,1203,800.0,2,1
317,1,0,3.5,56,30,30,5157,964,400.0,2,1
322,1,0,3.9,70,1,30,5133,851,400.0,2,1
323,1,0,3.9,91,30,13,2932,440,300.0,2,1
330,1,0,3.8,77,46,13,2121,402,650.0,2,1
333,1,0,3.8,210,46,20,758,1242,600.0,2,1
334,1,0,4.1,130,30,13,3926,474,650.0,2,1
335,1,0,4.1,30,30,9,2749,232,100.0,2,1
336,1,0,3.8,144,1,13,3624,534,700.0,2,1
338,1,0,3.7,133,30,20,4348,609,700.0,2,1
339,1,0,4.0,136,30,62,5046,1581,350.0,2,1
342,1,0,3.8,74,4,62,1681,1599,300.0,2,1
346,1,0,3.7,54,4,13,3654,360,600.0,2,1
350,1,0,3.4,58,4,13,2687,437,400.0,2,1
351,1,0,3.6,129,1,20,4623,1097,600.0,2,1
355,1,0,3.5,41,75,44,3797,1485,400.0,2,1
357,1,0,4.1,176,4,20,459,68,800.0,2,1
359,1,0,3.7,47,30,66,400,849,400.0,2,1
360,1,1,3.7,36,30,20,5118,588,650.0,2,1
374,1,0,3.9,101,4,62,4783,1557,150.0,2,1
375,1,1,4.1,442,30,60,3779,694,1200.0,2,1
390,1,0,3.8,53,30,62,5188,959,250.0,2,1
395,1,0,4.0,232,30,62,2330,1571,400.0,2,1
396,1,0,3.9,221,30,20,2710,522,700.0,2,1
397,1,1,4.1,1063,30,21,3665,993,1200.0,2,1
398,1,0,3.7,93,4,62,2841,1638,200.0,2,1
399,1,0,3.9,233,30,20,1754,1013,800.0,2,1
400,1,0,3.9,211,30,20,4420,845,500.0,2,1
401,1,0,4.0,1778,30,62,1740,1453,200.0,2,1
402,1,0,3.6,218,82,20,5063,1284,800.0,2,1
403,1,0,3.7,514,4,13,3903,459,600.0,2,1
404,1,1,4.0,866,30,20,2921,1303,900.0,2,1
405,1,0,3.2,96,46,62,3523,1163,400.0,2,1
406,1,0,3.5,80,1,62,4204,1680,250.0,2,1
407,1,0,4.0,73,4,0,2684,194,300.0,2,1
408,1,0,3.9,84,30,69,1820,1128,400.0,2,1
409,1,0,3.5,88,1,62,1114,1602,350.0,2,1
410,1,0,3.5,179,1,20,2292,1215,600.0,2,1
411,1,0,3.8,61,4,62,4746,1027,100.0,2,1
412,1,0,3.7,128,79,20,1955,1227,450.0,2,1
413,1,0,3.8,339,30,62,4136,1599,400.0,2,1
414,1,0,4.1,449,4,62,2833,1638,100.0,2,1
415,1,0,4.1,210,30,32,1998,211,150.0,2,1
417,1,0,3.0,213,1,62,3186,1436,400.0,2,1
418,1,0,3.2,208,30,12,2239,1662,250.0,2,1
419,1,0,3.8,70,1,62,2784,1557,100.0,2,1
420,1,0,4.0,219,4,13,3858,456,600.0,2,1
421,1,0,3.7,59,1,62,3512,1461,200.0,2,1
424,1,0,3.7,124,46,20,293,293,750.0,2,1
456,1,1,4.1,775,1,20,3628,1393,800.0,2,1
457,1,1,4.2,2022,30,20,5057,1424,1000.0,2,1
460,1,1,4.2,150,1,13,2905,463,600.0,2,1
461,1,0,4.0,232,4,20,3420,1203,750.0,2,1
464,1,1,3.5,431,30,20,2176,1163,800.0,2,1
465,1,1,4.2,2115,1,20,3911,1491,800.0,2,1
467,1,0,4.2,150,30,20,2589,1163,800.0,2,1
469,1,0,3.8,155,30,20,3732,1607,450.0,2,1
471,1,1,4.1,666,30,21,40,50,1000.0,2,1
473,1,0,3.9,240,4,13,2150,333,700.0,2,1
474,1,0,3.8,918,1,16,1409,485,800.0,2,1
475,1,0,4.0,465,30,20,799,1607,600.0,2,1
476,1,1,4.1,970,30,54,1546,1320,1500.0,2,1
477,1,0,3.3,128,1,62,2611,1203,300.0,2,1
478,1,0,3.6,241,46,62,2996,1203,300.0,2,1
480,1,0,4.3,734,1,62,3466,1607,200.0,2,1
481,1,0,3.8,130,30,62,304,1188,400.0,2,1
482,1,0,4.2,261,30,13,4523,390,700.0,2,1
483,1,0,4.0,191,46,62,265,1608,300.0,2,1
484,1,0,4.1,364,4,20,2775,1576,550.0,2,1
487,1,0,3.9,888,1,20,4720,1442,750.0,2,1
489,1,0,3.9,750,4,20,1734,1284,500.0,2,1
490,1,1,4.2,164,1,13,1733,381,500.0,2,1
493,1,0,3.8,527,4,20,2747,1163,500.0,2,1
494,0,0,4.3,345,1,30,2348,962,400.0,3,1
495,0,0,4.4,356,1,69,1883,1123,150.0,3,1
497,1,0,3.9,38,1,30,2140,955,150.0,3,1
502,1,0,3.9,116,1,30,4508,965,400.0,3,1
503,1,0,3.8,918,1,16,1409,485,800.0,3,1
506,1,0,3.8,144,1,13,3624,534,700.0,3,1
508,1,0,4.3,860,1,30,3155,794,500.0,3,1
518,0,0,3.8,45,1,72,1787,175,400.0,3,1
