,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,type,city,costfor2
0,1,1,4.1,27.83882181415011,1,20,3628,1393,0,1,28.284271247461906
1,1,0,4.1,28.053520278211074,1,20,2950,596,0,1,28.284271247461906
2,1,0,3.8,30.298514815086232,1,16,1409,485,0,1,28.284271247461906
3,0,0,3.7,9.38083151964686,1,62,2752,1597,0,1,17.320508075688775
4,0,0,3.8,12.884098726725126,4,20,3435,1414,0,1,24.49489742783178
5,1,0,3.8,16.911534525287763,4,20,3316,1163,0,1,24.49489742783178
6,1,1,4.6,50.55689863905816,1,22,2005,1478,1,1,24.49489742783178
7,1,0,4.0,18.0,1,13,3882,463,1,1,26.457513110645905
8,1,0,4.2,22.44994432064365,1,13,5182,486,1,1,23.45207879911715
9,1,0,4.1,20.049937655763426,1,13,5183,333,1,1,22.360679774997894
10,1,1,4.2,12.24744871391589,1,13,2905,463,1,1,24.49489742783178
11,1,1,4.2,12.806248474865695,1,13,1733,381,1,1,22.360679774997894
12,0,0,4.0,20.591260281974,1,13,4460,384,1,1,21.213203435596427
13,1,0,3.8,30.298514815086232,1,16,1409,485,1,1,28.284271247461906
14,1,0,3.8,9.486832980505138,1,13,2180,333,1,1,25.495097567963924
15,1,0,3.9,11.532562594670797,1,13,2954,442,1,1,28.284271247461906
16,1,0,3.8,12.0,1,13,3624,534,1,1,26.457513110645905
17,0,0,3.9,9.643650760992957,1,13,945,457,1,1,17.320508075688775
18,1,0,3.0,7.874007874011811,1,13,489,445,1,1,20.0
19,1,0,3.7,13.41640786499874,1,13,3859,497,1,1,22.360679774997894
20,1,0,3.6,7.874007874011811,1,65,3626,991,1,1,24.49489742783178
21,0,0,3.8,12.16552506059644,4,22,3562,1201,1,1,23.45207879911715
22,1,0,4.0,14.798648586948742,4,13,3858,456,1,1,24.49489742783178
23,1,0,2.8,22.494443758403985,1,62,605,1339,2,1,22.360679774997894
24,1,0,3.9,13.114877048604,1,29,3418,1475,2,1,27.386127875258307
25,1,0,4.2,20.37154878746336,1,62,4302,1197,2,1,22.360679774997894
26,1,0,3.9,15.1657508881031,1,29,4076,236,2,1,25.495097567963924
27,1,0,4.2,40.58324777540605,1,20,3269,611,2,1,24.49489742783178
28,1,0,4.4,69.88562083862459,30,20,1250,1409,2,1,27.386127875258307
29,1,0,3.8,11.532562594670797,4,62,1810,1646,2,1,14.142135623730953
30,1,0,3.9,16.911534525287763,1,62,571,323,2,1,22.360679774997894
31,1,0,3.9,23.2379000772445,1,62,3358,1484,2,1,28.284271247461906
32,1,1,4.6,50.55689863905816,1,22,2005,1478,2,1,24.49489742783178
33,0,0,3.8,6.0,1,29,4045,1321,2,1,20.0
34,1,0,3.6,15.620499351813308,46,62,265,1203,2,1,17.320508075688775
35,1,0,4.0,28.35489375751565,46,20,774,1225,2,1,21.213203435596427
36,1,0,3.7,26.057628441590765,63,20,2944,606,2,1,29.154759474226505
37,1,0,3.1,15.652475842498529,46,62,3543,1264,2,1,17.320508075688775
38,0,0,4.3,18.57417562100671,1,30,2348,962,2,1,20.0
39,1,0,4.0,24.859605789312106,30,20,4035,289,2,1,27.386127875258307
40,0,0,4.0,32.357379374726875,1,62,3639,986,2,1,21.213203435596427
41,1,0,3.9,25.03996805109783,1,29,4421,929,2,1,21.213203435596427
42,1,1,4.2,18.81488772222678,1,20,4769,151,2,1,28.284271247461906
43,0,0,4.2,15.620499351813308,1,20,3647,1006,2,1,28.284271247461906
44,1,1,3.6,12.767145334803704,46,20,4595,921,2,1,28.284271247461906
45,0,1,4.0,28.42534080710379,1,20,4407,1203,2,1,29.154759474226505
46,1,0,4.1,41.47288270665544,4,62,2269,1362,2,1,20.0
47,0,0,4.1,29.46183972531247,1,57,238,706,2,1,34.64101615137755
48,0,0,4.1,22.80350850198276,1,62,5101,249,2,1,17.320508075688775
49,0,0,3.6,17.291616465790582,1,62,4258,873,2,1,17.320508075688775
50,1,0,4.1,23.62202362203543,4,62,254,1557,2,1,12.24744871391589
51,0,0,3.8,6.244997998398398,1,62,2752,1573,2,1,18.708286933869708
52,1,0,4.2,12.083045973594572,1,9,258,216,2,1,20.0
53,1,0,4.4,66.34003316248794,30,20,1054,287,2,1,24.49489742783178
54,0,0,2.6,16.822603841260722,1,20,297,1163,2,1,24.49489742783178
55,0,0,3.3,7.874007874011811,1,4,1283,1599,2,1,28.284271247461906
56,0,0,3.7,8.06225774829855,1,62,3431,878,2,1,17.320508075688775
57,1,0,3.8,8.426149773176359,4,30,2332,965,2,1,20.0
